"id","tb_pts_contact_id","tb_type_qualificatif_id","permanence","num_tel_local","num_accueil","num_noir","email","website","horaire_accueil","horaire_tel_local"
115,95,2,0,"02 37 21 43 69",,,"ddt-sauh-hab-prv@eure-et-loir.gouv.fr",,"Du lundi au jeudi de 9h à 12h et de 14 à 17h. Le vendredi de 9h à 12h et de 14h à 16h.","Du lundi au jeudi de 9h à 12h et de 14 à 17h. Le vendredi de 9h à 12h et de 14h à 16h."
116,96,2,0,"02 47 70 80 64",,,"ddt-anah@indre-et-loire.gouv.fr",,"Avec rendez-vous du lundi au jeudi de 9h à 12h et le vendredi de 9h à 12h et de 13h30 à 17h, et sans rendez vous du lundi au jeudi de 13h30 à 17h","Du lundi au vendredi de 9h à 18h"
117,97,1,0,"02 37 21 32 71",,,"eureetloir@infoenergie-centre.org","http://www.infoenergie-centre.org/","lundi à vendredi 9h-12h, 14h-17h30","lundi à vendredi 9h-12h, 14h-17h30"
118,98,1,0,"02 48 67 96 30",,,"cher@infoenergie-centre.org","http://www.infoenergie-centre.org/","Du lundi au vendredi de 8h30 à 12h30 et de 13h30 à 17h00","Du lundi au vendredi de 8h30 à 12h30 et de 13h30 à 17h00"
119,98,2,0,"02 48 67 96 30",,,"cher@infoenergie-centre.org","http://www.infoenergie-centre.org/","Du lundi au vendredi de 8h30 à 12h30 et de 13h30 à 17h00","Du lundi au vendredi de 8h30 à 12h30 et de 13h30 à 17h00"
120,99,3,1,"03 25 73 42 05",,,"adil10@wanadoo.fr","www.adil10.org","Du lundi au jeudi de 9h00 à 12h00 et de 14h00 à 17h00, le vendredi de 9h00 à 12h00 et de 14h00 à 16h00","Du lundi au jeudi de 9h00 à 12h00 et de 14h00 à 17h00, le vendredi de 9h00 à 12h00 et de 14h00 à 16h00"
121,100,3,1,"03 24 58 28 92",,,"adil@adil08.fr",,"Lundi de 13h30 à 17h30 / Mardi au vendredi de 9h à 12h / 13h30 à 17h30","Lundi de 13h30 à 17h30 / Mardi au vendredi de 9h à 12h / 13h30 à 17h30"
122,101,1,0,"03 24 30 90 54",,,"info.energie@ale08.org","http://www.ale08.org/","lundi à vendredi 9h-12h, 14h-18h00","lundi à vendredi 9h-12h, 14h-18h00"
123,102,1,0,"03 25 94 97 77",,,"infoenergie.arcad@orange.fr","http://www.arcad-ca.fr/","du lundi au vendredi : 9h30-12h et de 13h à 17h30","Lundi au vendredi 8h30-12h00 et de 13h45 à 17h30"
124,103,1,0,"03 26 64 13 93",,,"jmathieu@comal-pact51.fr","http://pact51.adalogis.fr/","du lundi au vendredi de 8H30 à 12H et 13H45 à 17H30 - vendredi fermeture à 17H15","du lundi au vendredi de 8H30 à 12H et 13H45 à 17H30 - vendredi fermeture à 17H15"
125,104,2,0,"03 25 46 21 44",,,"ddt-shcb-bhap@aube.gouv.fr",,"Du lundi au jeudi de 9h00 à 12h00 et de 14h00 à 17h00, le vendredi de 9h00 à 12h00 et de 14h00 à 16h00","Du lundi au jeudi de 9h00 à 12h00 et de 14h00 à 17h00, le vendredi de 9h00 à 12h00 et de 14h00 à 16h00"
126,105,2,0,"03 25 30 79 90",,,"ddt-anah@haute-marne.gouv.fr",,"Du lundi au jeudi de 14h à 16h","Du lundi au jeudi de 14h à 16h"
127,106,2,0,"03 26 70 82 69",,,"ddt-shvd-hp@marne.gouv.fr",,"Du lundi au vendredi de 9h00 à 12h et de 13h30 à 16h30","Du lundi au vendredi de 9h00 à 12h et de 13h30 à 16h30"
128,107,2,0,"03 51 16 51 49",,,"ddt-guichet-renovation-energetique@ardennes.gouv.fr",,"Les mardi et jeudi de 14h à 16h","Du lundi au vendredi de 9h à 11h et de 14h à 16h. Un répondeur est mis en place en dehors de ces plages horaires."
129,108,1,0,"03 25 42 32 80",,,"pact-10.habitat@wanadoo.fr","http://www.pact-habitat.org/","Lundi au vendredi de 9h à 17h","Du lundi au vendredi de 9h00 à 12h00 et de 14h00 à 17h00"
130,109,1,0,"03 26 64 13 93",,,"comal.pact51@wanadoo.fr",,"Lundi au vendredi de 9h à 17h","Du lundi au vendredi : 9h30-12h30 et de 13h30 à 17h30"
131,110,1,0,"03 24 58 42 77",,,"eie-pact08@wanadoo.fr","http://www.pact-habitat.org","Du Lundi au Vendredi : 10h - 12h *uniquement  sur rendez-vous* et de 14h à 18h","Du lundi au vendredi de 10h00 à 12h00 et de 14h00 à 18h00"
132,111,1,0,"03 26 35 37 13",,,"eddie@reimsmetropole.fr","http://www.reimsmetropole.fr/","Mardi, mercredi, vendredi, samedi de 13H à 18H - Fermé le lundi et jeudi","Mardi, mercredi, vendredi, samedi de 13H à 18H - Fermé le lundi et jeudi"
133,112,3,1,"04 95 20 85 25",,,"adil.2a@orange.fr","www.adil2a.org","Du lundi au vendredi 9h à 12h / 14h à 17h","Du lundi au vendredi de 9h à 12h / 14h à 17h"
134,112,2,1,"04 95 20 85 25",,,"adil.2a@orange.fr","www.adil2a.org","Du lundi au vendredi 9h à 12h / 14h à 17h","Du lundi au vendredi de 9h à 12h / 14h à 17h"
135,113,3,1,"04 95 58 15 32",,,"adil2b@orange.fr","www.adil2b.org","9h à 12h / 14h à 17h","Du lundi au vendredi de 9h à 12 h et de 14h à 17h"
136,114,1,0,"04 95 31 80 90",,,"caue-2b@wanadoo.fr",,"Du lundi au Vendredi 9h-12h et 14h00-17h00","Du lundi au Vendredi 9h-12h et 14h-17h00"
137,115,1,0,"04 95 38 36 41",,,"c2en@wanadoo.fr",,"Du lundi au Vendredi 9h-12h et 14h00-17h00","Du lundi au Vendredi 9h-12h et 14h00-17h00"
138,116,1,0,"04 95 21 37 52",,,"infoenergie.ajaccio@gmail.com","http://www.cpie.fr","9h00 - 12h / 14h00 - 17h du lundi au vendredi","9h00 - 12h / 14h00 - 17h du lundi au vendredi"
139,117,1,0,"04 95 46 18 59",,,"cpaoli@cpie-centrecorse.fr","http://cpie-centrecorse.fr/","9h00 - 12h / 14h00 - 17h du lundi au vendredi","9h00 - 12h / 14h00 - 17h du lundi au vendredi"
140,118,2,0,"04 95 32 97 91",,,"ddtm-anah@haute-corse.gouv.fr",,"Du lundi au vendredi de 8 h 30 à 11 h 30.","Du lundi au vendredi de 8h30 à 11h30 et de 14h à 16h."
141,119,1,0,"04 95 47 12 61",,,"primusole2b@orange.fr",,"du lundi au vendredi de 9h00 à 12h et de 14h a 17h","du lundi au vendredi de 9h00 à 12h et de 14h a 17h"
142,120,1,0,"04 95 72 13 25",,,"primusole.povo@orange.fr",,"du lundi au vendredi de 9h00 à 12h et de 14h a 17h","du lundi au vendredi de 9h00 à 12h et de 14h a 17h"
143,121,1,0,"03 84 92 15 29",,,"adera.infoenergie@wanadoo.fr","http://www.info-energie-fc.org/",,"Du lundi au vendredi de 9h à 12h et de 13h45 à 17h30"
144,122,3,1,"03 84 75 60 19",,,"adil.70@wanadoo.fr","www.adil70.org","Du lundi au jeudi : 9h-12h 14h-17h30 / Vendredi : 9h-12h 14h-17h","Lundi au jeudi de 9h à 12h / 14h à 17h30 / Vendredi de 9h à 12h / 14h à 17h"
145,122,2,1,"03 84 75 60 19",,,"adil.70@wanadoo.fr","www.adil70.org","Du lundi au jeudi : 9h-12h 14h-17h30 / Vendredi : 9h-12h 14h-17h","Lundi au jeudi de 9h à 12h / 14h à 17h30 / Vendredi de 9h à 12h / 14h à 17h"
146,123,3,1,"03 81 61 92 41",,,"adil25@orange.fr","www.adil25.org","Le lundi de 9h à 12h et 14h-18h / Du mardi au vendredi de 8h30-12h30 et 14h-18h","Du lundi au jeudi de 9h à 12h / 14h à 17h  Vendredi de 12h à 17h "
147,123,2,1,"03 81 61 92 41",,,"adil25@orange.fr","www.adil25.org","Le lundi de 9h à 12h et 14h-18h / Du mardi au vendredi de 8h30-12h30 et 14h-18h","Du lundi au jeudi de 9h à 12h / 14h à 17h, vendredi de 12h à 17h "
148,124,3,1,"03 84 86 19 30",,,"adil.39@wanadoo.fr","www.adil39.org","Du lundi au jeudi de 9h à 12h et de 14h à 17h 30. Le vendredi de 14h à 17h30","Du lundi au jeudi de 9h à 12h et de 14h à 17h 30. Le vendredi de 14h à 17h30 / Vendredi de 14h à 17h30"
149,124,2,1,"03 84 86 19 30",,,"adil.39@wanadoo.fr","www.adil39.org","Du lundi au jeudi de 9h à 12h et de 14h à 17h 30. Le vendredi de 14h à 17h30 / ","Du lundi au jeudi de 9h à 12h et de 14h à 17h 30. Le vendredi de 14h à 17h30 / Vendredi de 14h à 17h30"
150,125,1,0,"03 84 47 81 14",,,"infoenergie.jura@ajena.org","http://www.info-energie-fc.org",,"Le lundi de 14h a 17h30 et du mardi au vendredi de 9h à 12h et de 14h à 17h"
152,127,2,0,"03 84 58 86 92",,,"gu-anah@territoire-de-belfort.gouv.fr",,"Lundi et jeudi de 14 h à 16 h - mercredi et jeudi de 8 h 30 à 11 h30 ou sur rendez-vous","Du lundi au vendredi de 8 h30 à 11h 30  et 14 h à 16 h 30"
153,128,1,0,"03 84 21 10 69",,,"contact@gaia-energies.org","http://www.info-energie-fc.org",,"Lundi, de 13h30 à 17h30 du mardi au vendredi : de 9h à 12h et de 13h30 à 17h30"
154,129,3,1,"02 32 24 06 66",,,"adil27@cegetel.net","www.adil27.org","Du lundi au vendredi de 8h30 à 12h et de 13h à 17h30 sur rendez-vous","Du lundi au vendredi de 8h30 à 12h / 13h à 17h30"
155,130,3,1,"02 32 18 29 02",,,"adil.76@wanadoo.fr","www.adil76.org","Du lundi au vendredi de 9h à 19hSamedi de 9h à 12h","Du lundi au vendredi de 9h à 19hSamedi de 9h à 12h"
156,131,1,0,"02 32 59 25 70",,,"eie@alec27.fr","http://www.alec27.fr","du lundi au vendredi de 9h30 à 12h30 et de 14h à 18h","du lundi au vendredi de 9h30 à 12h30 et de 14h à 18h"
157,132,1,0,"02 35 72 05 10",,,"eie@caue76.org","http://www.caue76.org","Tous les jours de 9h à 12h et de 14h à 17h30","Tous les jours de 9h à 12h et de 14h à 17h30"
158,133,1,0,"02 35 22 25 20",,,"eie@agglo-havraise.fr","http://www.agglo-lehavre.fr","Du lundi au vendredi de 9h-17h","Du lundi au vendredi de 9h-17h"
159,134,2,0,"02 32 18 10 33",,,"ddtm-sh-bha@seine-maritime.gouv.fr",,"Du lundi au vendredi, de 9h à 11h30 et de 14h à 16h.","Du lundi au vendredi, de 9h à 11h30 et de 14h à 16h."
160,135,2,1,"02 32 29 62 25",,,"ddtm-anah@eure.gouv.fr",,"Du lundi au vendredi de 8h30 à 12h et de 13h à 17h30 sur rendez-vous","Du lundi au vendredi de 9h à 12h / 13h30 à 17h30"
161,136,1,0,"02 32 84 40 40",,,"info-energie@cauxseine.fr","http://www.cauxseine.fr","Sans rendez-vous du lundi au vendredi de 9h à 12h Avec rendez-vous du mardi au vendredi de 14h à 17h30","Du lundi au Vendredi 9h-12h30 et 13h30-17h00"
162,137,1,0,"08 00 02 10 21",,,"eie@la-crea.fr","http://www.la-crea.fr","sur rendez-vous du lundi au vendredi","Du lundi au Vendredi 9h-12h30 et 13h30-17h00"
163,138,1,0,"02 35 27 39 03",,,"infoenergie.hautesfalaises@orange.fr","http://eie.hautesfalaises.com/","Du lundi au vendredi : 9h30-12h00 / 14h30-18h00","Du lundi au vendredi : 9h30-12h00 / 14h30-18h00"
164,139,1,0,"02 32 14 40 69",,,"eie@agglodieppe-maritime.com","http://www.agglodieppe-maritime.com","Du lundi au vendredi de 14h à 17h30","Du lundi au vendredi de 14h à 17h30"
165,140,1,0,"02 32 39 89 99",,,"eie@hd27.com","http://www.hd27.com","Lundi au Vendredi de 9h-12h et 14h-17h30","Lundi au Vendredi de 9h-12h et 14h-17h30"
166,141,3,1,"01 60 77 21 22",,,"adil.91@wanadoo.fr","www.adil91.org","Lundi, mardi, jeudi de 9h à 18h / Vendredi de 9h à 17h","lundi, mardi, jeudi de 9h à 18h - mercredi de 9h à  11h30 et de 14h à 16h - vendredi de 9h à 17h"
167,141,2,1,"01 60 77 21 22",,,"adil.91@wanadoo.fr","www.adil91.org","Lundi, mardi, jeudi de 9h à 18h / Vendredi de 9h à 17h","lundi, mardi, jeudi de 9h à 18h - mercredi de 9h à  11h30 et de 14h à 16h - vendredi de 9h à 17h"
168,142,3,1,"01 42 79 50 46",,,"contact@adil75.org","www.adil75.org","9h30-12h45 / 14h-18h","Tous les jours de 9h30 à 12h45 / 14h à 18h"
169,143,3,1,"08 20 16 77 77",,,"info@adil77.org","www.adil77.org","Le lundi de 14h à 17h30. Du mardi au vendredi de 9h à 17h30","Le lundi de 14h à 17h30. Du mardi au vendredi de 9h à 17h30"
170,144,3,1,"08 20 16 93 93",,,"adil93@wanadoo.fr","www.adil93.org","Lundi au jeudi de 8h30 à 17h30 sans interruption / Vendredi de 8h30 à 16h30","Lundi au jeudi de 8h30 à 17h30 sans interruption / Vendredi de 8h30 à 16h30"
171,145,3,1,"01 41 45 06 10",,,"adil92@adil92.org","www.adil92.org","Lundi au mercredi de 8h30 à 17h30 / Jeudi de 8h30 à 12h30 / Vendredi 8h30 à 16h30","Du lundi au vendredi de 8h30 à 17h30 sans interruption (sauf jeudi après-midi et vendredi 17h)"
172,145,2,1,"01 41 45 06 10",,,"adil92@adil92.org","www.adil92.org","Lundi au mercredi de 8h30 à 17h30 / Jeudi de 8h30 à 12h30 / Vendredi 8h30 à 16h30","Du lundi au vendredi de 8h30 à 17h30 sans interruption (sauf jeudi après-midi et vendredi 17h)"
173,146,3,1,"01 39 50 84 72",,,"contact@adil78.org","www.adil78.org","Ouvert du lundi au vendredi (sauf le jeudi après-midi) sans rendez-vous de 9h à 12h30 / 14h à 17h30","Du lundi au vendredi de 9h à 12h30 / 14h à 17h30 (sauf le jeudi après-midi)"
174,147,3,1,"08 20 16 95 95",,,"information@adil95.org","www.adil95.org","Du lundi au vendredi : 9h-13h / 14h-17h","Lundi au vendredi de 9h à 13h / 14h à 17h "
175,147,2,1,"08 20 16 95 95",,,"information@adil95.org","www.adil95.org","Du lundi au vendredi : 9h-13h / 14h-17h","Lundi au vendredi de 9h à 13h / 14h à 17h "
176,148,3,1,"08 20 16 94 94",,,"info@adil94.org","www.adil94.org","Sur rendez-vous:  du lundi au mercredi de 9h à 13h et de 14h à 18h - le jeudi de 9h à 13h - le vendredi de 9h à 13h et de 14h à 17h","Du lundi au jeudi de 9 h à 13 h / 14h à 18h / Vendredi de 9 h à 13h / 14h à 17h"
177,149,1,0,"01 71 33 13 60",,,"contact-energie@caue94.fr","http://www.caue94.fr/index.php?id_rub=7","du lundi au vendredi de 9 h 00 à 12 h 00 et de 13 h 30 à 17 h 30","du lundi au vendredi de 9 h 00 à 12 h 00 et de 13 h 30 à 17 h 30"
178,150,1,0,"01 30 47 98 90",,,"alme@energie-sqy.com","http://www.energie-sqy.com","du lundi au vendredi de 9 h 00 à 12 h 00 et de 13 h 30 à 17 h 30","du lundi au vendredi de 9 h 00 à 12 h 00 et de 13 h 30 à 17 h 30"
179,151,1,0,"01 58 51 90 20",,,"info-conseil@apc-paris.com","http://www.apc-paris.com","Du lundi au vendredi de 10 à 12h et de 14h30 à 16h30 (exclusivement sur rendez-vous)","Du lundi au vendredi de 09h à 18h"
180,152,1,0,"01 48 09 40 90",,,"contact@alec-plaineco.org",,"de 10h à 13h et de 15h à 19h","Du lundi au vendredi de 10h à 13h et de 15h à 19h"
181,153,1,0,"01 60 19 10 95",,,"cie@ateps.fr","http://www.ateps.fr","Du lundi au vendredi de 10h à 18h","Du lundi au vendredi de 10h à 18h"
182,154,2,0,"01 60 56 70 80",,,"ddt-habitermieux@seine-et-marne.gouv.fr","www.seine-et-marne.gouv.fr","Du lundi au vendredi de 9h30 à 11h30 et de 14h à 16h. Seulement le matin pendant les vacances scolaires","Du lundi au vendredi de 9h30 à 11h30 et de 14h à 16h. Seulement le matin pendant les vacances scolaires"
183,155,2,0,"01 30 84 30 80",,,"ddt-habitermieux@yvelines.gouv.fr","www.yvelines.fr/habitermieux","Lundi, mardi, mercredi de 9h à 12h et de 14h à 17h. Le vendredi de 9h à 12h et de 14h à 16h.","Lundi, mardi, mercredi de 9h à 12h et de 14h à 17h. Le vendredi de 9h à 12h et de 14h à 16h."
184,156,2,0,"01 49 80 22 00",,,"habiter-mieux-94@developpement-durable.gouv.fr",,"Tous les jours de 9h30 à 11h30 et de 14h à 16h.","Tous les jours de 9h30 à 11h30 et de 14h à 16h."
185,157,2,0,"01 41 60 68 70",,,"anah.uthl93.drihl-if@developpement-durable.gouv.fr",,"Du lundi au vendredi , de 9h30 à 11h30 sans rendez-vous. Les après midi de 14h à 16h30 sur rendez-vous.","Les lundi, mardi, mercredi, vendredi de 9h30 à 11h30 et de 14h à 16h30. Le jeudi de 9h30 à 11h30"
186,158,2,0,"01 82 52 51 00",,,"habiter-mieux-75@developpement-durable.gouv.fr",,"Lundi au vendredi de 10h à 12h30 et sur rendez-vous","Lundi au vendredi de 10h à 12h et de 14h à 16h30"
187,159,1,0,"08 00 00 60 75",,,"energiehabitat@agglo-hautsdebievre.fr","http://www.agglo-hautsdebievre.fr","Du lundi au Vendredi 9h-12h30 et 13h30-17h00","Du lundi au Vendredi 9h-12h30 et 13h30-17h00"
188,160,1,0,"01 48 13 18 14",,,"eie.terresdefrance@idemu.org","http://www.idemu.org","Mercredi, jeudi et vendredi de 14h à 20h","Mercredi, jeudi et vendredi de 14h à 20h"
189,161,1,0,"01 39 70 23 06",,,"contact-pris@energies-solidaires.org","http://www.energies-solidaires.org","Sur rendez-vous du lundi au vendredi de 9h30 à 12h30 et de 13h30 à 17h30","Du lundi au Vendredi 9h-12h30 et 13h30-17h00"
190,162,1,0,"01 69 58 74 78",,,"eiesudessonne@gmail.com","http://www.eie-sud-essonne.fr/","Lundi et Vendredi de 14h à 17h30 sur RDV - Mercredi de 9h à 12h30 et de 14h à 17h30 sur RDV","Du lundi au Vendredi 9h-12h30 et 13h30-17h00"
191,163,1,0,"01 60 87 18 70",,,"mdh@cg91.fr","http://www.mdh.essonne.fr","Du lundi au Vendredi 9h-12h30 et 13h30-17h00","Du lundi au Vendredi 9h-12h30 et 13h30-17h00"
192,164,1,0,"08 00 10 10 21",,,"infoenergie@gpso-energie.fr","http://www.gpso-energie.fr/pole-particuliers","Du lundi au Vendredi 9h-12h30 et 13h30-17h00","Du lundi au Vendredi 8h30-19h et samedi 8h30-12h30 "
193,165,1,0,"01 64 72 11 73",,,"eie.marneetchantereine@idemu.org",,"Du lundi au Vendredi 9h-12h30 et 13h30-17h00","Du lundi au Vendredi 9h-12h30 et 13h30-17h00"
194,166,1,0,"01 47 85 11 13",,,"eie.92@idemu.org","http://www.idemu.org","Du lundi au Vendredi 9h-12h30 et 13h30-17h00","Du lundi au Vendredi 9h-12h30 et 13h30-17h00"
195,167,1,0,"01 48 13 18 16",,,"eie.nord93@idemu.org","http://www.idemu.org","Du lundi au Vendredi 9h-12h30 et 13h30-17h00","Du lundi au Vendredi 9h-12h30 et 13h30-17h00"
196,168,1,0,"01 39 94 53 88",,,"eie_inventerre_95@yahoo.fr","http://www.inventerre.org","du mardi au samedi de 09h00 à 17h00","du mardi au samedi de 09h00 à 17h00"
197,169,1,0,"01 46 63 09 94",,,"eie.labouilloire@yahoo.fr","http://labouilloire.asso-web.com/23+espace-info-energie.html","Accueil sur rendez-vous : Du mardi au vendredi de 9h à 12h et de 13h à 17h","Du lundi au Vendredi 9h-12h30 et 13h30-17h00"
198,170,1,0,"01 69 51 03 67",,,"info.energie@ville-morsang.fr",,"Ouverture du lundi au jeudi : 9h - 12h, 14h - 18h","Ouverture du lundi au jeudi : 9h - 12h, 14h - 18h"
199,171,1,0,"01 42 87 99 44",,,"contact@agence-mve.org","http://www.agence-mve.org","Du lundi au vendredi de 9h30 à 12h30 et de 14h à 17h30. Jusqu'à 20h le jeudi. De 10h à 13h le premier samedi du mois","Du lundi au vendredi de 9h30 à 12h30 et de 14h à 17h30. Jusqu'à 20h le jeudi. De 10h à 13h le premier samedi du mois"
200,172,1,0,"01 64 09 12 72",,,"cecile.venuat@pact77.org",,"Du Lundi au Vendredi de 9h à 17h","Du Lundi au Vendredi de 9h à 17h"
201,173,1,0,"01 43 97 89 93",,,"eie@pact94.org","http://www.pact94.com","Du lundi au Vendredi 9h-12h30 et 13h30-17h00","Du lundi au Vendredi 9h30-12h et 13h30-17h00"
202,174,1,0,"06 12 79 07 89",,,"info-energie@valdoise.fr",,"Du Lundi au Vendredi de 9h à 17h","Du Lundi au Vendredi de 9h à 17h"
203,175,1,0,"01 64 98 73 93",,,"info@parc-gatinais-francais.fr",,"Du lundi au Vendredi 9h-12h30 et 13h30-17h00","Du lundi au Vendredi 9h-12h30 et 13h30-17h00"
204,176,1,0,"01 64 31 19 67",,,"info-energie@me77.fr","http://www.seine-et-marne-environnement.fr/","Du lundi au Vendredi 9h-12h30 et 13h30-17h00","Du lundi au Vendredi 9h-12h30 et 13h30-17h00"
205,177,1,0,"01 69 56 50 33",,,"eie@solicites.org","http://www.solicites.org","Du lundi au Vendredi 9h-12h30 et 13h30-17h00","Du lundi au Vendredi 9h-12h30 et 13h30-17h00"
206,178,1,0,"01 43 24 62 68",,,"infoenergie@ville-nogentsurmarne.fr",,"9h-12h et 14h-17h du lundi au vendredi","9h-12h et 14h-17h du lundi au vendredi"
207,179,3,1,"04 67 55 55 55",,,"contact.adil34@orange.fr","www.adil34.org","Du lundi au vendredi de 9H à 12H30 et de 13H30 à 17H","Du lundi au vendredi de 9h à 12h30 / 13h15 à 17h"
208,179,2,1,"04 99 61 44 80",,,"picanah@adil34.org","www.adil34.org","Du lundi au jeudi de 14h30 à 17h et le vendredi de 14h30 à 16h","du lundi au jeudi de 14h30 à 17h et le vendredi de 14h30 à 16h"
209,180,3,1,"04 66 49 36 65",,,"adil48@orange.fr","www.adil48.org","Du lundi au vendredi de 8h45 à 12h30 / 13h15 à 17h30 (fermeture au public le vendredi après-midi)","Du lundi au jeudi de 8h45 à 12h30 / 13h15 à 17h30Vendredi de 8h45 à 12h30"
210,180,2,1,"04 66 49 36 65",,,"adil48@orange.fr","www.adil48.org","Du lundi au vendredi de 8h45 à 12h30 / 13h15 à 17h30 (fermeture au public le vendredi après-midi)","Du lundi au jeudi de 8h45 à 12h30 / 13h15 à 17h30Vendredi de 8h45 à 12h30"
211,181,3,1,"04 68 52 00 00",,,"contact@adil66.org","www.adil66.org","Tous les jours de 9h à 17h sans interruption","Tous les jours de 9h à 17h sans interruption"
212,182,3,1,"04 66 21 92 90",,,"preh@adil30.org","www.adil30.org","Du lundi au jeudi de 9 h à 13 h / 14 h à 17 hVendredi de 13 h à 17 h","Mardi, mercredi, jeudi de 14h à 17h"
213,182,2,1,"04 66 21 92 90",,,"preh@adil30.org","www.adil30.org","Du lundi au jeudi de 9 h à 13 h / 14 h à 17 hVendredi de 13 h à 17 h","Mardi, mercredi, jeudi de 14h à 17h"
214,183,1,0,"04 66 49 60 93",,,"contact@energie.lozere.fr",,"lundi au vendredi de 8h à 12 h","lundi au vendredi de 8h à 12 h"
215,184,1,0,"04 67 91 96 91",,,"eie@ale-montpellier.org","http://www.ale-montpellier.org","RDV du mardi au vendredi de 13h à 17h.","Du mardi au vendredi de 13h à 17h."
216,185,1,0,"04 68 11 56 20",,,"caue.aude@gmail.com",,"du lundi au vendredi de 9h à 12h30 et de 13h30 à 17h hors jeudi matin à la mairie de carcassonne","du lundi au vendredi de 9h à 12h30 et de 13h30 à 17h"
217,186,1,0,"04 66 70 98 58",,,"eie.caue30@wanadoo.fr",,"Sur RDV mardi et jeudi de 9h à 12h et de 14h à 17h - vendredi 9h-12h","mardi et jeudi de 9h à 12h et de 14h à 17h - vendredi 9h-12h"
218,187,1,0,"04 66 31 28 46",,,"eie48@aol.com",,"Du lundi au Vendredi 9h-12h30 et 13h30-17h00","Du lundi au Vendredi 9h-12h30 et 13h30-17h00"
219,188,2,0,"04 68 71 76 57",,,"ddtm-shbd-ulfru-delegation-locale-de-l-anah@aude.gouv.fr",,"Du lundi au vendredi de 8h30 à 12h00 et de 13h30 à 17h00","Du lundi au vendredi de 8h30 à 12h00 et de 13h30 à 17h00"
220,189,2,0,"04 68 38 13 69",,,"ddtm-suh-flru@pyrenees-orientales.gouv.fr",,"Lundi de 14h à 16h, vendredi de 9h à 11h ainsi que sur rendez-vous tous les jours de la semaine.","Du lundi au vendredi de 9h à 11h."
221,190,1,0,"04 67 36 80 77",,,"info.energie@ville-beziers.fr",,"le mardi sur rendez vous de 8h30-12h00 et de 13h30 à 17h00","mercredi et jeudi 8h30-12h00 et 13h30-17h00"
222,191,1,0,"04 68 85 82 18",,,"eie.66@cg66.fr",,"Du lundi au vendredi  9h-17h00 sur RV","Du lundi au jeudi 9h-12h00 et 14h00-17h00"
223,192,1,0,"04 67 13 80 94",,,"eie@gefosat.org",,"du lundi au vendredi de 9h30 à 17 h 30.","du lundi au jeudi de 9h30 à 14h."
224,193,1,0,"04 66 52 78 42",,,"eie.ales@mne-rene30.org","http://eie-ales-nordgard.fr","Du lundi au Jeudi de 9h à 13h et de 14h à 18h","Du lundi au Jeudi de 9h à 13h et de 14h à 18h"
225,194,1,0,"04 68 42 66 57",,,"info@parc-naturel-narbonnaise.fr",,"l'autre mercredi en permanence au grand Narbonne","un mercredi sur deux à sigean par tel 9h-12h30 14h-17h"
226,195,1,0,"04 68 41 48 40",,,"energie@payscorbieresminervois.fr","http://www.payscorbieresminervois.fr","Du lundi au Vendredi 9h-17h00 sur RV","Du lundi au Vendredi 9h-12h30 et 13h30-17h00"
227,196,1,0,"04 67 95 72 21",,,"eie@payshlv.com","http://www.payshlv.com","du Lundi au Jeudi de 09h à 12h et de 14h à 17h sur RV sur toutes les antennes du pays","du Lundi au Jeudi de 09h à 12h et de 14h à 17h"
228,197,3,1,"05 55 26 56 82",,,"adil.19@wanadoo.fr","www.adil19.org","Du lundi au jeudi de 9h à 12h et de 13h à 18 h / Le vendredi de 8h à 12h et de 13h à 16h","Du lundi au jeudi de 9h à 12h / 13h à 18h / Vendredi de 8h à 12h / 13h à 16h"
229,198,3,1,"05 55 10 89 89",,,"contact.adil87@orange.fr","www.adil87.org","Lundi au vendredi de 9h à 12h30 / 13h30 à 17h30","Lundi au vendredi de 9h à 12h30 / 13h30 à 17h30"
230,198,2,1,"05 55 10 89 89",,,"contact.adil87@orange.fr","www.adil87.org","Lundi au vendredi de 9h à 12h30 / 13h30 à 17h30","Lundi au vendredi de 9h à 12h30 / 13h30 à 17h30"
231,199,1,1,"05 55 14 88 42",,,"eie-lne@orange.fr","http://association.lne.free.fr/","du Lundi au Jeudi de 09h à 12h et de 14h à 17h","du Lundi au Jeudi de 09h à 12h et de 14h à 17h"
232,200,1,1,"05 55 20 88 96",,,"infoenergie_cpie19@yahoo.fr","http://www.cpiecorreze.com/","Permanences sur rendez-vous au sein des maisons du département du Conseil Général de la Corrèze","du Lundi au Jeudi de 09h à 12h et de 14h à 17h"
233,201,2,0,"05 55 21 83 37",,,"ddt-anah@correze.gouv.fr",,"Du lundi au jeudi de 13h30 à 16h","Du lundi au jeudi de 13h30 à 16h"
234,202,2,0,"05 55 51 69 57",,,"ddt-anah@creuse.gouv.fr",,"Du lundi au jeudi de 14h à 16h sur rendez-vous","Du lundi au jeudi de 14h à 16h."
235,203,1,1,"05 55 94 77 51",,,"energiespourdemain@yahoo.fr","http://www.energiespourdemain.fr","Du lundi au vendredi de 9h00- 12h30 / 14h-17h30","Du lundi au vendredi de 9h00- 12h30 / 14h-17h30"
236,204,1,1,"05 55 74 08 08",,,"maison-habitat@agglo-brive.fr","http://www.agglo-brive.fr","Du mardi au vendredi 9H-12H  14H-17H","Du mardi au vendredi 9H-12H  14H-17H"
